,customer_id,payment_type_id,internet_service_type_id,contract_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,churn_month,signup_date
528,0774-RMNUW,3,1,3,Female,0,Yes,Yes,71,No,No phone service,Yes,Yes,No,Yes,Yes,Yes,No,59.7,4122.65,No,Two year,DSL,Bank transfer (automatic),,2016-02-21 18:07:34
529,0778-NELLA,4,1,1,Male,0,No,No,9,No,No phone service,No,No,No,No,Yes,No,Yes,34.7,296.1,Yes,Month-to-month,DSL,Credit card (automatic),2022-01-31,2021-04-21 18:07:34
530,0780-XNZFN,3,3,3,Male,0,No,No,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.65,1125.6,No,Two year,None,Bank transfer (automatic),,2017-04-21 18:07:34
531,0781-LKXBR,1,2,1,Male,1,No,No,9,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,100.5,918.6,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-04-21 18:07:34
532,0784-GTUUK,4,3,2,Male,0,Yes,No,62,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,23.75,1446.8,No,One year,None,Credit card (automatic),,2016-11-21 18:07:34
533,0784-ZQJZX,4,3,3,Male,0,No,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.9,1529.65,No,Two year,None,Credit card (automatic),,2016-01-21 18:07:34
534,0786-IVLAW,3,2,2,Female,1,No,No,66,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,108.1,7238.6,No,One year,Fiber optic,Bank transfer (automatic),,2016-07-21 18:07:34
535,0786-VSSUD,2,1,1,Male,1,No,No,16,No,No phone service,No,Yes,No,No,Yes,No,Yes,39.0,679.85,Yes,Month-to-month,DSL,Mailed check,2022-01-31,2020-09-21 18:07:34
536,0787-LHDYT,4,3,1,Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.6,330.25,No,Month-to-month,None,Credit card (automatic),,2020-09-21 18:07:34
537,0788-DXBFY,1,3,2,Male,0,Yes,Yes,58,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.55,1108.8,No,One year,None,Electronic check,,2017-03-21 18:07:34
538,0793-TWELN,1,2,1,Female,0,No,No,4,Yes,Yes,Yes,No,No,No,No,No,Yes,80.15,319.85,No,Month-to-month,Fiber optic,Electronic check,,2021-09-21 18:07:34
539,0794-YVSGE,3,3,3,Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,1401.15,No,Two year,None,Bank transfer (automatic),,2016-01-21 18:07:34
540,0795-GMVQO,4,2,2,Male,0,Yes,No,67,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,109.9,7332.4,No,One year,Fiber optic,Credit card (automatic),,2016-06-21 18:07:34
541,0795-LAFGP,1,1,3,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,90.4,6668.05,No,Two year,DSL,Electronic check,,2016-02-21 18:07:34
542,0795-XCCTE,3,3,3,Male,1,No,No,72,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.4,1809.35,No,Two year,None,Bank transfer (automatic),,2016-01-21 18:07:34
543,0799-DDIHE,1,1,1,Female,0,Yes,Yes,15,Yes,No,No,No,No,No,No,No,No,46.3,639.45,No,Month-to-month,DSL,Electronic check,,2020-10-21 18:07:34
544,0804-XBFBV,1,1,1,Female,0,No,Yes,11,No,No phone service,No,No,No,No,No,No,No,25.2,321.05,No,Month-to-month,DSL,Electronic check,,2021-02-21 18:07:34
545,0804-YGEQV,3,3,2,Female,0,Yes,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,24.45,993.15,No,One year,None,Bank transfer (automatic),,2018-06-21 18:07:34
546,0807-ZABDG,2,1,1,Female,0,No,Yes,3,Yes,No,Yes,No,No,Yes,No,No,Yes,55.1,154.65,Yes,Month-to-month,DSL,Mailed check,2022-01-31,2021-10-21 18:07:34
547,0810-BDHAW,1,1,2,Female,0,Yes,Yes,24,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,78.4,1832.4,No,One year,DSL,Electronic check,,2020-01-21 18:07:34
548,0810-DHDBD,4,1,2,Female,0,No,No,52,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,74.0,3877.65,No,One year,DSL,Credit card (automatic),,2017-09-21 18:07:34
549,0811-GSDTP,1,1,1,Female,0,No,Yes,13,No,No phone service,No,Yes,No,No,No,No,No,30.15,382.2,No,Month-to-month,DSL,Electronic check,,2020-12-21 18:07:34
550,0812-WUPTB,2,2,1,Male,1,Yes,No,1,Yes,No,No,No,No,No,No,No,No,70.85,70.85,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-12-21 18:07:34
551,0813-TAXXS,3,1,3,Male,0,No,No,55,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,77.8,4323.35,No,Two year,DSL,Bank transfer (automatic),,2017-06-21 18:07:34
552,0815-MFZGM,4,2,3,Female,0,Yes,No,42,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.0,4135,No,Two year,Fiber optic,Credit card (automatic),,2018-07-21 18:07:34
553,0816-TSPHQ,2,3,1,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.75,44.2,No,Month-to-month,None,Mailed check,,2021-11-21 18:07:34
554,0817-HSUSE,1,1,1,Male,0,No,No,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,75.5,75.5,No,Month-to-month,DSL,Electronic check,,2021-12-21 18:07:34
555,0818-OCPZO,1,2,1,Male,1,No,No,27,Yes,Yes,No,Yes,No,No,No,No,Yes,81.45,2122.05,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2019-10-21 18:07:34
556,0820-FNRNX,2,1,1,Male,0,Yes,Yes,17,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,66.7,1077.05,No,Month-to-month,DSL,Mailed check,,2020-08-21 18:07:34
557,0822-GAVAP,1,1,1,Female,0,No,No,2,No,No phone service,No,No,No,No,No,Yes,Yes,34.7,62.25,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2021-11-21 18:07:34
558,0822-QGCXA,1,1,1,Female,1,Yes,No,27,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,83.85,2310.2,No,Month-to-month,DSL,Electronic check,,2019-10-21 18:07:34
559,0823-HSCDJ,1,1,1,Male,1,No,No,52,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,49.15,2550.9,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2017-09-21 18:07:34
560,0824-VWDPO,3,2,2,Female,0,No,No,45,Yes,Yes,Yes,Yes,No,No,No,Yes,No,96.75,4442.75,No,One year,Fiber optic,Bank transfer (automatic),,2018-04-21 18:07:34
561,0825-CPPQH,4,3,3,Female,0,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.1,1372.45,No,Two year,None,Credit card (automatic),,2016-02-21 18:07:34
562,0827-ITJPH,4,3,3,Male,0,No,No,36,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,18.55,689,No,Two year,None,Credit card (automatic),,2019-01-21 18:07:34
563,0829-DDVLK,4,3,2,Female,0,No,No,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.1,302.45,No,One year,None,Credit card (automatic),,2020-10-21 18:07:34
564,0829-XXPLX,3,2,1,Female,0,No,No,20,Yes,No,Yes,No,Yes,No,Yes,No,Yes,89.4,1871.15,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2020-05-21 18:07:34
565,0831-JNISG,2,3,3,Male,0,Yes,Yes,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.8,1396.25,No,Two year,None,Mailed check,,2016-02-21 18:07:34
566,0835-DUUIQ,3,3,2,Female,0,No,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,21.05,531.55,No,One year,None,Bank transfer (automatic),,2020-01-21 18:07:34
567,0835-JKADZ,1,2,3,Female,0,No,No,71,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.25,7984.15,No,Two year,Fiber optic,Electronic check,,2016-02-21 18:07:34
568,0836-SEYLU,2,1,1,Male,0,Yes,No,9,No,No phone service,No,No,No,Yes,Yes,No,No,40.65,328.95,Yes,Month-to-month,DSL,Mailed check,2022-01-31,2021-04-21 18:07:34
569,0839-JTCUD,4,1,3,Female,0,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,89.9,5958.85,No,Two year,DSL,Credit card (automatic),,2016-07-21 18:07:34
570,0839-QNXME,4,3,3,Female,0,No,No,30,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.4,578.5,No,Two year,None,Credit card (automatic),,2019-07-21 18:07:34
571,0840-DCNZE,3,1,2,Male,0,No,No,47,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,86.95,4138.9,No,One year,DSL,Bank transfer (automatic),,2018-02-21 18:07:34
572,0840-DFEZH,1,2,1,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,75.35,564.65,No,Month-to-month,Fiber optic,Electronic check,,2021-06-21 18:07:34
573,0841-NULXI,1,1,1,Male,0,No,No,1,No,No phone service,No,No,No,No,No,Yes,Yes,35.55,35.55,Yes,Month-to-month,DSL,Electronic check,2022-01-31,2021-12-21 18:07:34
574,0842-IWYCP,3,1,1,Female,0,No,No,46,Yes,No,No,No,No,No,No,No,No,44.95,2168.9,No,Month-to-month,DSL,Bank transfer (automatic),,2018-03-21 18:07:34
575,0843-WTBXE,3,2,1,Male,0,No,No,53,Yes,Yes,No,No,No,No,Yes,No,No,85.45,4517.25,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),2022-01-31,2017-08-21 18:07:34
576,0847-HGRML,3,3,3,Male,0,No,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.0,1250.1,No,Two year,None,Bank transfer (automatic),,2016-11-21 18:07:34
577,0848-SOMKO,3,1,3,Male,0,No,No,70,No,No phone service,Yes,No,Yes,Yes,No,Yes,No,48.4,3442.8,No,Two year,DSL,Bank transfer (automatic),,2016-03-21 18:07:34
578,0848-ZGQIJ,3,2,1,Female,0,Yes,No,16,Yes,No,No,Yes,No,No,Yes,Yes,Yes,94.65,1461.15,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2020-09-21 18:07:34
579,0851-DFJKB,1,1,1,Female,0,No,No,15,Yes,No,Yes,No,Yes,Yes,No,No,No,58.95,955.15,No,Month-to-month,DSL,Electronic check,,2020-10-21 18:07:34
580,0853-NWIFK,1,2,2,Female,0,No,No,45,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,100.3,4483.95,No,One year,Fiber optic,Electronic check,,2018-04-21 18:07:34
581,0853-TWRVK,3,2,3,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,105.6,7581.5,No,Two year,Fiber optic,Bank transfer (automatic),,2016-01-21 18:07:34
582,0854-UYHZD,2,3,3,Female,0,Yes,Yes,13,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.55,265.3,No,Two year,None,Mailed check,,2020-12-21 18:07:34
583,0856-NAOES,2,1,1,Male,0,No,No,6,Yes,No,No,No,Yes,No,Yes,No,No,60.9,414.1,No,Month-to-month,DSL,Mailed check,,2021-07-21 18:07:34
584,0859-YGKFW,3,3,2,Male,0,Yes,Yes,18,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.05,345.9,No,One year,None,Bank transfer (automatic),,2020-07-21 18:07:34
585,0862-PRCBS,4,2,3,Female,0,Yes,Yes,68,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,103.75,7039.45,No,Two year,Fiber optic,Credit card (automatic),,2016-05-21 18:07:34
586,0864-FVJNJ,1,2,2,Female,0,Yes,Yes,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,113.35,7222.75,No,One year,Fiber optic,Electronic check,,2016-09-21 18:07:34
587,0866-QLSIR,2,1,2,Female,0,No,No,34,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,64.4,2088.75,Yes,One year,DSL,Mailed check,2022-01-31,2019-03-21 18:07:34
588,0867-LDTTC,3,1,1,Male,0,No,No,5,Yes,No,No,No,Yes,Yes,Yes,Yes,No,75.15,392.65,No,Month-to-month,DSL,Bank transfer (automatic),,2021-08-21 18:07:34
589,0867-MKZVY,1,2,1,Female,0,Yes,No,20,Yes,Yes,Yes,No,No,No,No,No,No,82.4,1592.35,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-05-21 18:07:34
590,0868-VJRDR,4,2,3,Male,0,Yes,No,64,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,104.05,6605.55,No,Two year,Fiber optic,Credit card (automatic),,2016-09-21 18:07:34
591,0869-PAPRP,4,2,1,Female,1,Yes,No,26,Yes,No,No,No,Yes,No,Yes,No,Yes,85.7,2067,No,Month-to-month,Fiber optic,Credit card (automatic),,2019-11-21 18:07:34
592,0870-VEMYL,4,1,1,Female,0,No,No,5,Yes,No,Yes,No,No,Yes,No,No,No,53.85,259.8,Yes,Month-to-month,DSL,Credit card (automatic),2022-01-31,2021-08-21 18:07:34
593,0871-OPBXW,2,3,1,Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.05,39.25,No,Month-to-month,None,Mailed check,,2021-11-21 18:07:34
594,0871-URUWO,4,2,1,Male,0,Yes,No,13,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,102.25,1359,Yes,Month-to-month,Fiber optic,Credit card (automatic),2022-01-31,2020-12-21 18:07:34
595,0872-CASZJ,2,1,2,Male,0,Yes,No,59,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,69.1,4096.9,No,One year,DSL,Mailed check,,2017-02-21 18:07:34
596,0872-JCPIB,3,1,1,Male,0,No,No,17,Yes,Yes,Yes,No,No,No,No,Yes,No,65.75,1111.2,No,Month-to-month,DSL,Bank transfer (automatic),,2020-08-21 18:07:34
597,0872-NXJYS,1,2,1,Female,0,No,No,9,Yes,No,No,No,No,No,No,Yes,Yes,79.55,723.4,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-04-21 18:07:34
598,0875-CABNR,4,2,1,Female,1,No,No,10,Yes,No,No,No,Yes,No,No,Yes,Yes,84.6,865.55,Yes,Month-to-month,Fiber optic,Credit card (automatic),2022-01-31,2021-03-21 18:07:34
599,0876-WDUUZ,4,2,1,Female,0,No,No,5,Yes,No,No,No,No,Yes,No,Yes,Yes,85.4,425.9,Yes,Month-to-month,Fiber optic,Credit card (automatic),2022-01-31,2021-08-21 18:07:34
600,0877-SDMBN,3,2,2,Female,0,No,No,54,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,103.95,5639.05,Yes,One year,Fiber optic,Bank transfer (automatic),2022-01-31,2017-07-21 18:07:34
601,0880-FVFWF,1,2,1,Male,0,No,No,56,Yes,Yes,Yes,Yes,No,No,No,No,Yes,86.4,4922.4,No,Month-to-month,Fiber optic,Electronic check,,2017-05-21 18:07:34
602,0880-TKATG,1,2,1,Male,0,Yes,Yes,4,Yes,Yes,No,No,Yes,No,Yes,Yes,No,101.15,385.9,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-09-21 18:07:34
603,0883-EIBTI,2,3,1,Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.5,31.55,Yes,Month-to-month,None,Mailed check,2022-01-31,2021-11-21 18:07:34
604,0885-HMGPY,3,1,3,Male,0,No,No,62,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,69.4,4237.5,No,Two year,DSL,Bank transfer (automatic),,2016-11-21 18:07:34
605,0886-QGENL,1,2,1,Female,1,Yes,No,27,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,101.25,2754.45,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2019-10-21 18:07:34
606,0887-HJGAR,2,1,1,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,45.7,45.7,Yes,Month-to-month,DSL,Mailed check,2022-01-31,2021-12-21 18:07:34
607,0887-WBJVH,1,2,2,Female,0,Yes,No,53,Yes,No,No,No,No,Yes,Yes,Yes,Yes,93.45,4872.2,No,One year,Fiber optic,Electronic check,,2017-08-21 18:07:34
608,0895-DQHEW,1,2,1,Male,0,Yes,No,54,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.3,5278.15,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2017-07-21 18:07:34
609,0895-LMRSF,3,1,2,Male,0,No,No,23,Yes,No,No,No,No,No,Yes,Yes,Yes,64.9,1509.8,No,One year,DSL,Bank transfer (automatic),,2020-02-21 18:07:34
610,0895-LNKRC,2,3,2,Male,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.45,113.5,No,One year,None,Mailed check,,2021-07-21 18:07:34
611,0895-UADGO,2,1,3,Male,0,No,Yes,8,No,No phone service,Yes,No,No,Yes,No,Yes,Yes,44.55,343.45,No,Two year,DSL,Mailed check,,2021-05-21 18:07:34
612,0897-FEGMU,1,2,1,Female,0,Yes,No,11,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.5,1056.95,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-02-21 18:07:34
613,0898-XCGTF,3,2,2,Male,0,Yes,No,61,Yes,Yes,No,No,No,No,Yes,Yes,Yes,96.5,5673.7,No,One year,Fiber optic,Bank transfer (automatic),,2016-12-21 18:07:34
614,0899-LIIBW,1,2,1,Male,0,Yes,No,34,Yes,Yes,No,No,Yes,No,Yes,Yes,No,100.85,3527.3,No,Month-to-month,Fiber optic,Electronic check,,2019-03-21 18:07:34
615,0899-WZRSD,2,2,1,Male,0,No,No,56,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,105.35,5794.45,No,Month-to-month,Fiber optic,Mailed check,,2017-05-21 18:07:34
616,0902-RFHOF,2,3,2,Male,0,No,No,38,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.1,730.1,No,One year,None,Mailed check,,2018-11-21 18:07:34
617,0902-XKXPN,3,3,3,Male,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.2,1376.5,No,Two year,None,Bank transfer (automatic),,2016-04-21 18:07:34
618,0906-QVPMS,3,2,3,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.15,8349.45,No,Two year,Fiber optic,Bank transfer (automatic),,2016-01-21 18:07:34
619,0907-HQNTS,4,2,3,Female,1,Yes,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,113.0,7987.6,No,Two year,Fiber optic,Credit card (automatic),,2016-03-21 18:07:34
620,0909-SDHNU,2,1,1,Female,0,No,Yes,7,No,No phone service,Yes,No,No,No,No,No,No,29.8,201.95,No,Month-to-month,DSL,Mailed check,,2021-06-21 18:07:34
621,0909-SELIE,3,1,3,Male,0,Yes,No,61,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,80.8,4860.85,No,Two year,DSL,Bank transfer (automatic),,2016-12-21 18:07:34
622,0913-XWSCN,3,2,1,Male,0,Yes,Yes,55,Yes,Yes,No,No,No,No,No,Yes,No,85.5,4713.4,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2017-06-21 18:07:34
623,0916-KNFAJ,2,1,3,Male,0,Yes,No,61,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,69.9,4226.7,No,Two year,DSL,Mailed check,,2016-12-21 18:07:34
624,0916-QOFDP,1,2,1,Female,1,Yes,Yes,14,Yes,Yes,No,No,No,No,Yes,Yes,Yes,95.8,1346.3,No,Month-to-month,Fiber optic,Electronic check,,2020-11-21 18:07:34
625,0917-EZOLA,3,2,3,Male,1,Yes,No,72,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.15,7689.95,Yes,Two year,Fiber optic,Bank transfer (automatic),2022-01-31,2016-01-21 18:07:34
626,0921-OHLVP,1,2,1,Male,0,No,No,22,Yes,Yes,No,No,No,No,No,Yes,No,83.05,1799.3,No,Month-to-month,Fiber optic,Electronic check,,2020-03-21 18:07:34
627,0923-PNFUB,1,2,1,Female,0,No,No,3,Yes,No,No,Yes,No,No,Yes,No,No,83.75,247.25,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-10-21 18:07:34
628,0924-BJCRC,1,2,1,Female,1,Yes,No,60,Yes,Yes,No,Yes,No,No,No,Yes,No,89.45,5294.6,No,Month-to-month,Fiber optic,Electronic check,,2017-01-21 18:07:34
629,0925-VYDLG,1,2,1,Female,0,No,No,3,Yes,Yes,No,No,No,No,No,No,No,75.25,242,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2021-10-21 18:07:34
630,0927-CNGRH,2,3,1,Male,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.55,19.55,No,Month-to-month,None,Mailed check,,2021-12-21 18:07:34
631,0927-LCSMG,2,2,1,Male,0,No,No,7,Yes,No,No,No,Yes,No,No,No,No,74.65,544.55,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-06-21 18:07:34
632,0928-JMXNP,1,1,1,Male,1,Yes,No,4,No,No phone service,No,No,Yes,No,No,No,Yes,29.9,118.25,No,Month-to-month,DSL,Electronic check,,2021-09-21 18:07:34
633,0928-XUTSN,1,2,1,Female,0,No,No,13,Yes,No,No,No,No,No,No,Yes,Yes,80.5,1011.8,No,Month-to-month,Fiber optic,Electronic check,,2020-12-21 18:07:34
634,0929-HYQEW,2,1,1,Male,0,No,No,3,Yes,No,Yes,No,No,No,No,No,Yes,50.15,160.85,No,Month-to-month,DSL,Mailed check,,2021-10-21 18:07:34
635,0929-PECLO,3,2,1,Female,1,No,No,63,Yes,Yes,No,No,Yes,No,No,Yes,Yes,89.6,5538.8,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2016-10-21 18:07:34
636,0930-EHUZA,2,1,2,Female,0,No,No,36,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,76.35,2606.35,No,One year,DSL,Mailed check,,2019-01-21 18:07:34
637,0931-MHTEM,4,2,2,Female,0,No,No,54,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,100.05,5299.65,No,One year,Fiber optic,Credit card (automatic),,2017-07-21 18:07:34
638,0932-YIXYU,4,3,3,Female,0,No,No,47,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.25,1029.8,No,Two year,None,Credit card (automatic),,2018-02-21 18:07:34
639,0936-NQLJU,4,3,3,Female,0,Yes,No,41,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.65,875.55,No,Two year,None,Credit card (automatic),,2018-08-21 18:07:34
640,0939-EREMR,2,1,1,Female,0,No,Yes,13,Yes,No,No,No,Yes,Yes,No,No,No,53.45,718.1,No,Month-to-month,DSL,Mailed check,,2020-12-21 18:07:34
641,0939-YAPAF,1,2,1,Female,0,No,No,35,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,100.25,3527.6,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2019-02-21 18:07:34
642,0940-OUQEC,3,2,1,Male,0,No,No,10,Yes,Yes,No,Yes,No,No,No,No,Yes,80.7,788.8,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),2022-01-31,2021-03-21 18:07:34
643,0942-KOWSM,3,1,3,Female,0,Yes,Yes,30,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,80.8,2369.3,No,Two year,DSL,Bank transfer (automatic),,2019-07-21 18:07:34
644,0943-ZQPXH,3,2,1,Male,0,Yes,Yes,44,Yes,No,No,No,Yes,No,Yes,Yes,Yes,92.95,4122.9,No,Month-to-month,Fiber optic,Bank transfer (automatic),,2018-05-21 18:07:34
645,0945-TSONX,4,1,3,Female,0,Yes,Yes,47,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,85.3,4107.25,No,Two year,DSL,Credit card (automatic),,2018-02-21 18:07:34
646,0946-CLJTI,1,2,1,Male,1,Yes,No,58,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,98.7,5812.6,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2017-03-21 18:07:34
647,0946-FKYTX,2,1,2,Male,0,No,No,52,No,No phone service,No,Yes,No,No,No,No,No,30.1,1623.4,No,One year,DSL,Mailed check,,2017-09-21 18:07:34
648,0947-IDHRQ,2,2,1,Female,0,No,No,7,Yes,No,No,No,No,No,Yes,No,Yes,80.3,526.7,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2021-06-21 18:07:34
649,0947-MUGVO,1,2,1,Male,1,Yes,No,20,Yes,No,No,Yes,No,No,No,No,Yes,73.65,1463.5,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2020-05-21 18:07:34
650,0952-KMEEH,2,2,1,Male,0,No,No,13,Yes,Yes,Yes,No,No,No,Yes,Yes,No,98.15,1230.25,Yes,Month-to-month,Fiber optic,Mailed check,2022-01-31,2020-12-21 18:07:34
651,0953-LGOVU,2,1,1,Male,0,Yes,Yes,12,No,No phone service,No,Yes,No,Yes,No,No,No,35.5,432.25,No,Month-to-month,DSL,Mailed check,,2021-01-21 18:07:34
652,0956-ACVZC,4,2,2,Female,0,No,No,54,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.1,5060.9,No,One year,Fiber optic,Credit card (automatic),,2017-07-21 18:07:34
653,0956-SYCWG,1,3,2,Female,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.65,244.8,No,One year,None,Electronic check,,2020-12-21 18:07:34
654,0958-YHXGP,2,2,1,Female,0,No,No,7,Yes,No,No,No,No,No,No,No,Yes,69.9,497.3,No,Month-to-month,Fiber optic,Mailed check,,2021-06-21 18:07:34
655,0959-WHOKV,1,2,2,Male,0,No,No,42,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,99.0,4298.45,No,One year,Fiber optic,Electronic check,,2018-07-21 18:07:34
656,0960-HUWBM,3,2,3,Male,0,Yes,Yes,65,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,104.1,6700.05,No,Two year,Fiber optic,Bank transfer (automatic),,2016-08-21 18:07:34
657,0961-ZWLVI,4,2,2,Male,0,No,Yes,49,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,109.2,5290.45,No,One year,Fiber optic,Credit card (automatic),,2017-12-21 18:07:34
658,0962-CQPWQ,3,3,3,Female,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,1296.15,No,Two year,None,Bank transfer (automatic),,2016-11-21 18:07:34
659,0963-ZBDRN,1,2,1,Male,0,No,No,32,Yes,No,No,No,No,Yes,Yes,Yes,Yes,96.2,3183.4,Yes,Month-to-month,Fiber optic,Electronic check,2022-01-31,2019-05-21 18:07:34
